STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : AGRI BAYINDIRLIK VE ISKAN MUD.
EARTHQUAKE DATE         : 23/10/2011
EPICENTER COORDINATES   : 
EARTHQUAKE DEPTH (km)   : 
EARTHQUAKE MAGNITUDE    : 
STATION ID              : 401
STATION COORDINATES     : 39.71991N-43.01585E
STATION ALTITUDE (m)    : 1610
RECORDER TYPE           : CMG-5TD
RECORDER SERIAL NO      : 5D60
RECORD TIME             : 23/10/2011 10:40:43 (GMT)
NUMBER OF DATA          : 22241
SAMPLING INTERVAL (sec) : 0.01000000
RAW PGA VALUES (cm/s^2) : (N-S)  18.459245 (E-W)  15.087845 (U-D)   7.217400
Copyright EARTHQUAKE RESEARCH DEPARTMENT 
GENERAL DIRECTORATE OF DISASTER AFFAIRS 
       N-S           E-W           U-D
     0.329266      -0.083913      -0.025284  
    -0.311212      -0.155286      -0.232612  
    -0.339386       0.314899       0.075561  
     0.024366       0.123319       0.113769  
     0.030627      -0.203494      -0.055350  
    -0.219805      -0.099565      -0.114855  
     0.014975       0.066346       0.078693  
     0.261023      -0.017549       0.161373  
     0.153964      -0.127739      -0.053471  
    -0.035112      -0.123356      -0.136778  
    -0.055772       0.189683       0.082451  
     0.205302       0.157127       0.133187  
    -0.159075      -0.174695      -0.092305  
    -0.184118      -0.151530      -0.178118  
    -0.074555       0.266691       0.094978  
     0.219702       0.157753       0.228395  
     0.035009      -0.419491      -0.173107  
    -0.261126       0.009999      -0.141788  
    -0.040120       0.307386       0.077440  
     0.066313       0.120815       0.073682  
     0.105756      -0.115843      -0.066624  
    -0.077685       0.025025      -0.086668  
     0.157094       0.049442       0.097484  
     0.289823       0.021268       0.075561  
     0.016853      -0.271737      -0.075394  
    -0.232326      -0.180955      -0.098569  
    -0.041372       0.325542       0.170769  
     0.152712       0.087632       0.101868  
    -0.053268      -0.272989      -0.198788  
    -0.276778       0.058833      -0.042196  
     0.152086       0.241022       0.187681  
     0.186520      -0.150277       0.005408  
    -0.116502      -0.111461      -0.154316  
    -0.145928       0.090763       0.016682  
     0.040644       0.337438       0.178912  
     0.112017      -0.122730      -0.042822  
    -0.281160      -0.194729      -0.185634  
    -0.182866       0.087632       0.048627  
     0.082591       0.025025       0.174527  
     0.247250      -0.157164       0.017309  
     0.016853      -0.195355      -0.214447  
    -0.015077       0.215978      -0.011504  
     0.179633       0.202205       0.140077  
     0.035009      -0.034453       0.006661  
    -0.156571      -0.233546      -0.158074  
